Datum;Spieler 1;Spieler 2;Spieler 3;Spieler 4
16.09.26;RN;JPG;;OH
23.09.26;RN;JPG;OH;CG2
30.09.26;RN;JPG;CG2;OH
07.10.26;RN;JPG;CG1;DJ
14.10.26;RN;JPG;CG1;OH
21.10.26;RN;JPG;CG1;DJ
28.10.26;RN;JPG;CG2;OH
04.11.26;RN;JPG;MH;DJ
11.11.26;RN;JPG;MH;OH
18.11.26;RN;JPG;MH;DJ
25.11.26;RN;JPG;MH;OH
02.12.26;RN;JPG;MH;DJ
09.12.26;RN;JPG;CG1;OH
16.12.26;RN;JPG;CG2;DJ
23.12.26;;;;
30.12.26;;;;
06.01.27;CG1;CG2;MH;DJ
13.01.27;CG2;JPG;MH;OH
20.01.27;;;;
27.01.27;RN;JPG;CG1;OH
03.02.27;RN;JPG;MH;DJ
10.02.27;RN;JPG;MH;OH
17.02.27;RN;JPG;MH;DJ
24.02.27;RN;JPG;MH;OH
03.03.27;RN;JPG;MH;DJ
10.03.27;RN;JPG;MH;OH
17.03.27;RN;JPG;MH;DJ
24.03.27;RN;JPG;MH;OH
31.03.27;RN;JPG;MH;DJ
07.04.27;;;;
14.04.27;RN;JPG;MH;DJ
